DATE,GS10,GS2,GS3M,GS3,GS1
1953-04-01,2.83,,,2.51,2.36
1953-05-01,3.05,,,2.72,2.48
1953-06-01,3.11,,,2.74,2.45
1953-07-01,2.93,,,2.62,2.38
1953-08-01,2.95,,,2.58,2.28
1953-09-01,2.87,,,2.56,2.20
1953-10-01,2.66,,,2.23,1.79
1953-11-01,2.68,,,2.20,1.67
1953-12-01,2.59,,,2.07,1.66
1954-01-01,2.48,,,1.89,1.41
1954-02-01,2.47,,,1.63,1.14
1954-03-01,2.37,,,1.59,1.13
1954-04-01,2.29,,,1.54,0.96
1954-05-01,2.37,,,1.56,0.85
1954-06-01,2.38,,,1.53,0.82
1954-07-01,2.30,,,1.47,0.84
1954-08-01,2.36,,,1.49,0.88
1954-09-01,2.38,,,1.60,1.03
1954-10-01,2.43,,,1.72,1.17
1954-11-01,2.48,,,1.75,1.14
1954-12-01,2.51,,,1.81,1.21
1955-01-01,2.61,,,1.99,1.39
1955-02-01,2.65,,,2.12,1.57
1955-03-01,2.68,,,2.26,1.59
1955-04-01,2.75,,,2.37,1.75
1955-05-01,2.76,,,2.37,1.90
1955-06-01,2.78,,,2.39,1.91
1955-07-01,2.90,,,2.51,2.02
1955-08-01,2.97,,,2.72,2.37
1955-09-01,2.97,,,2.69,2.36
1955-10-01,2.88,,,2.62,2.39
1955-11-01,2.89,,,2.73,2.48
1955-12-01,2.96,,,2.88,2.73
1956-01-01,2.90,,,2.78,2.58
1956-02-01,2.84,,,2.67,2.49
1956-03-01,2.96,,,2.89,2.61
1956-04-01,3.18,,,3.19,2.92
1956-05-01,3.07,,,3.08,2.94
1956-06-01,3.00,,,2.95,2.74
1956-07-01,3.11,,,3.06,2.76
1956-08-01,3.33,,,3.39,3.10
1956-09-01,3.38,,,3.50,3.35
1956-10-01,3.34,,,3.40,3.28
1956-11-01,3.49,,,3.57,3.44
1956-12-01,3.59,,,3.76,3.68
1957-01-01,3.46,,,3.46,3.37
1957-02-01,3.34,,,3.42,3.38
1957-03-01,3.41,,,3.47,3.42
1957-04-01,3.48,,,3.53,3.49
1957-05-01,3.60,,,3.61,3.48
1957-06-01,3.80,,,3.80,3.65
1957-07-01,3.93,,,3.96,3.81
1957-08-01,3.93,,,4.02,4.01
1957-09-01,3.92,,,4.06,4.07
1957-10-01,3.97,,,4.09,4.01
1957-11-01,3.72,,,3.70,3.57
1957-12-01,3.21,,,3.11,3.18
1958-01-01,3.09,,,2.78,2.65
1958-02-01,3.05,,,2.58,1.99
1958-03-01,2.98,,,2.40,1.84
1958-04-01,2.88,,,2.15,1.45
1958-05-01,2.92,,,2.07,1.37
